distance_km,keyrate_bps_level_0,keyrate_W_bps_level_0,keyrate_GHZ_bps_level_0,opt_qs_level_0,p_accept_level_0,generation_time_us_level_0,round_time_us_level_0,opt_lambdas_level_0,keyrate_bps_level_1,keyrate_W_bps_level_1,keyrate_GHZ_bps_level_1,opt_qs_level_1,p_accept_level_1,generation_time_us_level_1,round_time_us_level_1,opt_lambdas_level_1,keyrate_bps_level_2,keyrate_W_bps_level_2,keyrate_GHZ_bps_level_2,opt_qs_level_2,p_accept_level_2,generation_time_us_level_2,round_time_us_level_2,opt_lambdas_level_2
0.0,1.219159859188844,1.219159859188844,0.0,0.12814136257368647,1.0,49207.65684116172,49307.65684116172,0.3,0.06352610363044361,0.03685880036875706,0.026667303261686554,0.042994975166453196,0.8376886483261423,957087.1605436513,957187.1605436513,0.3,0.002782092784305349,0.00029301561520715273,0.002489077169098196,0.01722194382117661,0.6809446600734931,26699292.341277882,26699392.341277882,0.3
26.31578947368421,0.12176104303888381,0.12176104303888381,0.0,0.12648173440396634,1.0,313553.96111954196,313653.96111954196,0.05668970608342568,0.006196340669216924,0.0025795905758533083,0.0036167500933636156,0.04208048768099116,0.8320922323728512,5824757.65905321,5824857.65905321,0.02985765243535903,0.00037404751529504347,0.0,0.00037404751529504347,0.02091547765844119,0.6789714937079614,74785308.98508087,74785408.98508087,0.022952449168176275
52.63157894736842,0.028663787281230563,0.028663787281230563,0.0,0.12535537966463092,1.0,1124136.8145546594,1124236.8145546594,0.05504404685924258,0.0017818483856355883,0.0,0.0017818483856355883,0.05860083832021511,0.834416480016658,4723548.228446093,4723648.228446093,0.04100938316085757,0.00011475921197043756,0.0,0.00011475921197043756,0.020766835096278087,0.6780130525871626,216737621.1740135,216737721.1740135,0.01874147337570042
78.94736842105263,0.008138296337880564,0.008138296337880564,0.0,0.1248196119552348,1.0,3675373.1433542767,3675473.1433542767,0.05462971591798954,0.0007402413957498996,0.0,0.0007402413957498996,0.058461535044390715,0.8329709249480557,10422235.067281472,10422335.067281472,0.039011092808948364,4.9564511678253934e-05,0.0,4.9564511678253934e-05,0.020711193478481237,0.6776851591383178,481456837.2217245,481456937.2217245,0.016551297480239223
105.26315789473684,0.002512613458167332,0.002512613458167332,0.0,0.1245900201076269,1.0,11539043.783320192,11539143.783320192,0.0544879423552657,0.0003453675859535457,0.0,0.0003453675859535457,0.05836873380428703,0.8321840323293486,21287269.620924376,21287369.620924376,0.03787746145458585,2.5567221364354565e-05,0.0,2.5567221364354565e-05,0.020684889177542812,0.6775347935978797,915566534.3481084,915566634.3481084,0.015238208761461012
131.57894736842104,0.000816736921305762,0.000816736921305762,0.0,0.12449626513305084,1.0,35053101.239860885,35053201.239860885,0.05443018855527478,0.00017273573017619246,0.0,0.00017273573017619246,0.05831018659169364,0.831731737646591,41386410.64717615,41386510.64717615,0.03720045021613292,1.4655406866115934e-05,0.0,1.4655406866115934e-05,0.020670359025367655,0.677452912981582,1580511079.1561267,1580511179.1561267,0.014379852858515427
157.89473684210526,0.00027516400713488686,0.00027516400713488686,0.0,0.12445864327765184,1.0,103519474.02633598,103519574.02633598,0.054405384032890164,9.041828595283398e-05,0.0,9.041828595283398e-05,0.05827368642797653,0.8314633341757899,77753203.8207504,77753303.8207504,0.036784617286965866,8.997918472921773e-06,0.0,8.997918472921773e-06,0.02066148497001074,0.6774032917325685,2557813064.4000497,2557813164.4000497,0.013786835031363258
184.21052631578945,9.516884325539061e-05,9.516884325539061e-05,0.0,0.12444362344660734,1.0,298705608.3371977,298705708.3371977,0.054394716565349964,4.885237554268378e-05,0.0,4.885237554268378e-05,0.05825096189241422,0.8313008399226611,142453135.2094796,142453235.2094796,0.03652508059182991,5.794232021562848e-06,0.0,5.794232021562848e-06,0.020655683909910193,0.6773710125760514,3955482553.7967606,3955482653.7967606,0.01336158826087284
210.52631578947367,3.357549639675882e-05,3.357549639675882e-05,0.0,0.12443762749629855,1.0,845992188.2233533,845992288.2233533,0.0543901776267614,2.7009921489771704e-05,0.0,2.7009921489771704e-05,0.058236789527345734,0.8312011634150578,256046004.23031682,256046104.23031682,0.03636159484764756,3.862823271146816e-06,0.0,3.862823271146816e-06,0.020651706936164516,0.6773489601411035,5916276108.841997,5916276208.841997,0.013048584756647991
236.8421052631579,1.2029738220537059e-05,1.2029738220537059e-05,0.0,0.12443522075647055,1.0,2360440409.741869,2360440509.741869,0.054388270504067984,1.5195240247516821e-05,0.0,1.5195240247516821e-05,0.05822792664497126,0.8311394740652219,453367122.60910976,453367222.60910976,0.03625806666742475,2.6432772022569435e-06,0.0,2.6432772022569435e-06,0.020648886141419208,0.6773333553709344,8628409496.679571,8628409596.679571,0.01281381680400626
263.1578947368421,4.363438870535278e-06,4.363438870535278e-06,0.0,0.12443426626083516,1.0,6506755315.9138365,6506755415.9138365,0.05438747148521392,8.66470022436363e-06,0.0,8.66470022436363e-06,0.05822237464938114,0.831101058675599,793148398.0672836,793148498.0672836,0.0361923180882993,1.8455996862461021e-06,0.0,1.8455996862461021e-06,0.020646835775248482,0.6773220270835394,12339475366.50043,12339475466.50043,0.012635260076574744
289.4736842105263,1.5986057311533354e-06,1.5986057311533354e-06,0.0,0.12443388887316509,1.0,17759451298.725758,17759451398.725758,0.054387144002544886,4.994233439250592e-06,0.0,4.994233439250592e-06,0.05821889249415538,0.831077039561329,1373986242.9319406,1373986342.9319406,0.03615049055620634,1.3093288044991487e-06,0.0,1.3093288044991487e-06,0.02064531660312356,0.6773136405936159,17374483907.59771,17374484007.59771,0.012498030814909196
315.7894736842105,5.905350948210673e-07,5.905350948210673e-07,0.0,0.12443372833291745,1.0,48074663008.488884,48074663108.488884,0.05438700928931365,2.903924101086612e-06,0.0,2.903924101086612e-06,0.05821669775019118,0.8310619701746612,2360771396.6676335,2360771496.6676335,0.036123860534605576,9.408512809254652e-07,0.0,9.408512809254652e-07,0.020644173898535498,0.6773073393532261,24159265139.454124,24159265239.454124,0.012391721228936987
342.10526315789474,2.1966952006291876e-07,2.1966952006291876e-07,0.0,0.12443367123067729,1.0,129237502484.20428,129237502584.20428,0.054386951727731246,1.7008054622202593e-06,0.0,1.7008054622202593e-06,0.05821531597537787,0.8310524930154246,4028332803.593529,4028332903.593529,0.036106906527005204,6.831761926360342e-07,0.0,6.831761926360342e-07,0.020643304482095597,0.6773025503973181,33250748349.50333,33250748449.50333,0.01230886001363361
368.4210526315789,8.219911738444805e-08,8.219911738444805e-08,0.0,0.12443364039203306,1.0,345374151324.5174,345374151424.5174,0.05438692698625417,1.0022639149940464e-06,0.0,1.0022639149940464e-06,0.05821445067691812,0.8310465292647657,6833363965.911868,6833364065.911868,0.03609610926771371,5.003790457776743e-07,0.0,5.003790457776743e-07,0.020642637490969173,0.6772988788070106,45376141879.915054,45376141979.915054,0.012243968771077866
394.7368421052631,3.091598574742682e-08,3.091598574742682e-08,0.0,0.12443362786731609,1.0,918276094486.0316,918276094586.0316,0.054386920362759376,5.937204716649989e-07,0.0,5.937204716649989e-07,0.05821390239802472,0.8310427668084341,11532717291.717983,11532717391.717983,0.03608923453757106,3.691538714675034e-07,0.0,3.691538714675034e-07,0.020642122937341106,0.6772960453386425,61483569936.78664,61483570036.78664,0.012192962225844702
421.05263157894734,1.1679692222908463e-08,1.1679692222908463e-08,0.0,0.12443362327674623,1.0,2430663209960.2334,2430663210060.2334,0.054386914231905385,3.5330389712715084e-07,0.0,3.5330389712715084e-07,0.058213550790655676,0.8310403883460291,19377615301.797237,19377615401.797237,0.03608485760085756,2.7401397080733374e-07,0.0,2.7401397080733374e-07,0.02064172275933555,0.6772938442554712,82807445724.10632,82807445824.10632,0.012152755305021972
447.36842105263156,4.429735498019594e-09,4.429735498019594e-09,0.0,0.12443362327674623,1.0,6408822754826.6,6408822754926.6,0.054386914231905385,2.1107384474641352e-07,0.0,2.1107384474641352e-07,0.05821333509430476,0.8310388902444688,32431962011.482677,32431962111.482677,0.036082072287303035,2.0445913911880727e-07,0.0,2.0445913911880727e-07,0.020641411662652945,0.6772921290508886,110952864964.9346,110952865064.9346,0.012120988673578924
473.6842105263158,1.68588586729742e-09,1.68588586729742e-09,0.0,0.1244336232352216,1.0,16839446002315.62,16839446002415.62,0.054386916263608254,1.2654291532654894e-07,0.0,1.2654291532654894e-07,0.05821319784338423,0.8310379425791637,54093344017.39026,54093344117.39026,0.036080300053505016,1.5324788797902083e-07,0.0,1.5324788797902083e-07,0.020641166040181468,0.6772907845431965,148004411436.8677,148004411536.8677,0.012095846508030023
500.0,6.436057078583309e-10,6.436057078583309e-10,0.0,0.1244336232352216,1.0,44109898803446.516,44109898803546.516,0.054386916263608254,7.610109677415293e-08,0.0,7.610109677415293e-08,0.05821310842830296,0.8310373431881937,89944460241.77312,89944460341.77312,0.03607917015986552,1.1531338596335908e-07,0.0,1.1531338596335908e-07,0.020640974328569706,0.6772897301077312,196666237143.6776,196666237243.6776,0.01207591931772923
