distance_km,keyrate_bps_level_0,keyrate_W_bps_level_0,keyrate_GHZ_bps_level_0,opt_qs_level_0,p_accept_level_0,generation_time_us_level_0,round_time_us_level_0,keyrate_bps_level_1,keyrate_W_bps_level_1,keyrate_GHZ_bps_level_1,opt_qs_level_1,p_accept_level_1,generation_time_us_level_1,round_time_us_level_1,keyrate_bps_level_2,keyrate_W_bps_level_2,keyrate_GHZ_bps_level_2,opt_qs_level_2,p_accept_level_2,generation_time_us_level_2,round_time_us_level_2
0.0,88.74930903960141,88.74930903960141,0.0,0.06405885823502327,1.0,1110.7216570089217,1210.7216570089217,28.933376454531516,13.532190858400021,15.401185596131494,0.030102340664604373,0.8047821855002062,5697.518325201777,5797.518325201777,4.015477031630615,0.8021887145582249,3.21328831707239,0.01168119965709524,0.66420333698194,61794.875969044035,61894.875969044035
26.31578947368421,11.306868875737278,11.306868875737278,0.0,0.04599259902473637,1.0,8486.783255568183,8586.783255568183,8.83835084728361,4.100868419578798,4.737482427704813,0.023591923985050077,0.8041723349226639,17904.789980334437,18004.789980334437,2.0424338795785335,0.40734476440415784,1.6350891151743758,0.009863517293441983,0.6641409285196181,120008.85011585077,120108.85011585077
52.63157894736842,2.595251759807687,2.595251759807687,0.0,0.04102547439843322,1.0,36586.615596250704,36686.615596250704,3.556071429742995,1.6441359041380494,1.9119355256049457,0.02074266773978958,0.8039095119521744,43629.080949664516,43729.080949664516,1.1647304881768197,0.23204700885496196,0.9326834793218577,0.008780543435478344,0.6641011024409318,208762.94318154483,208862.94318154483
78.94736842105263,0.7351532875583884,0.7351532875583884,0.0,0.03928294956695669,1.0,128649.0076528674,128749.0076528674,1.638265350176456,0.7560492248251366,0.8822161253513194,0.019264982214513227,0.8037744209001344,93692.46702127326,93792.46702127326,0.7136973044014199,0.14208553981720332,0.5716117645842166,0.00807613195945603,0.6640740983264759,338821.30421701615,338921.30421701615
105.26315789473684,0.23003086846566803,0.23003086846566803,0.0,0.0386161555770983,1.0,410509.04808472696,410609.04808472696,0.8162113033564191,0.37628390130242384,0.43992740205399533,0.018431095134038265,0.8036986769475134,186894.33447609935,186994.33447609935,0.45927098523424736,0.09138653274545679,0.3678844524887906,0.007591785443632398,0.6640550102054206,524455.0391151424,524555.0391151424
131.57894736842104,0.07607687953489341,0.07607687953489341,0.0,0.03835251327341429,1.0,1240466.3834000994,1240566.3834000994,0.42738017627149716,0.19690640370250928,0.2304737725689879,0.017937991205928705,0.8036541156066491,355608.3392799678,355708.3392799678,0.30613788307499445,0.060893100806458864,0.24524478226853558,0.007245991181239929,0.664041113951853,784529.6852693063,784629.6852693063
157.89473684210526,0.026048992288737454,0.026048992288737454,0.0,0.03824695453417257,1.0,3621905.838149239,3622005.838149239,0.23143984015883534,0.10659117251889656,0.12484866763993877,0.01763831197236856,0.8036271493790229,655179.1856244515,655279.1856244515,0.20950588569195283,0.04166069997604829,0.16784518571590454,0.006992462169429266,0.6640307778754694,1143919.977827758,1144019.977827758
184.21052631578945,0.009133867445971975,0.009133867445971975,0.0,0.03820449162592636,1.0,10328302.868986418,10328402.868986418,0.12836170666072316,0.05910422004496364,0.0692574866157595,0.017453150555027906,0.8036105477383239,1179638.5332316598,1179738.5332316598,0.14630965712596614,0.029087881611017267,0.11722177551494886,0.006802943472807667,0.6640229665743519,1635347.9527204342,1635447.9527204342
210.52631578947367,0.0032589674754600895,0.0032589674754600895,0.0,0.038187378371903606,1.0,28945807.98714323,28945907.98714323,0.07245861144865837,0.03335881845460459,0.03909979299405378,0.01733757641992389,0.8036002175987834,2087901.3453667376,2088001.3453667376,0.10381932009649389,0.02063704362783079,0.0831822764686631,0.006659216387784411,0.664016991942505,2301767.637282547,2301867.637282547
236.8421052631579,0.001178470205083318,0.001178470205083318,0.0,0.03818047682867605,1.0,80046038.3213893,80046138.3213893,0.04145591608367086,0.019083941638130358,0.022371974445540503,0.017264980608571377,0.8035937458950863,3647299.1588445813,3647399.1588445813,0.07461791239273251,0.01483059272243754,0.05978731967029497,0.006549021673764708,0.6640123802194035,3199456.181814616,3199556.181814616
263.1578947368421,0.00043071251765535384,0.00043071251765535384,0.0,0.03817769594176022,1.0,219012043.75756305,219012143.75756305,0.02397008992918806,0.011033838500166405,0.012936251429021654,0.017219199936483173,0.8035896740902826,6305729.294624972,6305829.294624972,0.05419264094104066,0.010769953592509169,0.0434226873485315,0.006463828686627575,0.6640087951663145,4402015.700468578,4402115.700468578
289.4736842105263,0.00015879717320460083,0.00015879717320460083,0.0,0.038176573491520795,1.0,594034326.6641067,594034426.6641067,0.013977995819162503,0.0064340782561992035,0.0075439175629633,0.017190257806613488,0.8035871050653088,10810935.82398905,10811035.82398905,0.0396992995190452,0.007889030015346387,0.031810269503698814,0.006397539355133516,0.6640059930659027,6005550.77396369,6005650.77396369
315.7894736842105,5.897356695351589e-05,5.897356695351589e-05,0.0,0.038176122309980465,1.0,1599544838.7334995,1599544938.7334995,0.008208378380762204,0.003778235152033539,0.004430143228728665,0.01717193234515873,0.8035854811915585,18407274.34153218,18407374.34153218,0.029292579239085195,0.005820665804557231,0.023471913434527963,0.006345700717037098,0.6640037933598245,8135358.7781767445,8135458.7781767445
342.10526315789474,2.20369104866203e-05,2.20369104866203e-05,0.0,0.038175938921161764,1.0,4280583028.1244106,4280583128.1244106,0.0048485913789193535,0.002231726605086034,0.0026168647738333195,0.017160317134765093,0.8035844538830671,31159635.994585462,31159735.994585462,0.021746040697933143,0.004320907818006108,0.017425132879927033,0.006305002964998447,0.6640020614246605,10954572.522027723,10954672.522027723
368.4210526315789,8.278375091313005e-06,8.278375091313005e-06,0.0,0.038175865171040074,1.0,11394845913.257174,11394846013.257174,0.002878340655897685,0.001324840701383446,0.001553499954514239,0.017152951465015196,0.8035838028622118,52485709.8700295,52485809.8700295,0.01622792788949035,0.0032243477794470943,0.013003580110043255,0.006272954925561586,0.6640006932630668,14675303.793787247,14675403.793787247
394.7368421052631,3.1241944978017954e-06,3.1241944978017954e-06,0.0,0.03817583563812364,1.0,30193639199.06143,30193639299.06143,0.001716094812416765,0.0007898784325532505,0.0009262163798635143,0.017148278007335233,0.8035833905830794,88029113.11735222,88029213.11735222,0.012164460457906248,0.00241690184147364,0.009747558616432608,0.0062476556119974635,0.6639996114463003,19573029.367675997,19573129.367675997
421.05263157894734,1.1838134860167569e-06,1.1838134860167569e-06,0.0,0.03817582393436845,1.0,79683834656.44942,79683834756.44942,0.0010270139168684542,0.00047270884031081796,0.0005543050765576362,0.017145312635245304,0.8035831290027405,147089382.4897331,147089482.4897331,0.009154057768404614,0.0018187365005130959,0.007335321267891519,0.006227646952637028,0.6639987537958458,26005098.490960162,26005198.490960162
447.36842105263156,4.501709218044861e-07,4.501709218044861e-07,0.0,0.03817581904148468,1.0,209544403222.22504,209544403322.22504,0.0006166731256395665,0.00028383857520231716,0.0003328345504372494,0.017143429812163928,0.8035829636197721,244960653.41483885,244960753.41483885,0.006912173927138334,0.0013732918341288237,0.00553888209300951,0.00621179797977014,0.663998073528364,34434596.82633908,34434696.82633908
473.6842105263158,1.717317920361178e-07,1.717317920361178e-07,0.0,0.03817581736230876,1.0,549291397599.9455,549291397699.9455,0.0003713800456536838,0.0001709363090127025,0.00020044373664098125,0.017142235892113004,0.8035828579682608,406751122.4465587,406751222.4465587,0.00523504950021809,0.0010400701997631777,0.004194979300454912,0.006199229420322894,0.6639975330486482,45461022.01877993,45461122.01877993
