distance_km,keyrate_bps_level_0,keyrate_bps_level_1,keyrate_bps_level_2,opt_qs_level_0,opt_qs_level_1,opt_qs_level_2
0.0,365.2849750900118,65.26276444147554,7.683431921512354,0.15883043509477596,0.08241374138039984,0.04066422161282951
26.31578947368421,24.31608034747352,10.586337854367448,2.113313962074543,0.05504597243352316,0.031009088137255753,0.017748954145517137
52.63157894736842,4.967838244497653,3.5703007601839243,0.9495282802108415,0.04363274865526251,0.02261782325969469,0.012344195589935408
78.94736842105263,1.3547485242061295,1.5179290899681883,0.5113025558004674,0.040216128267414136,0.0193286874387254,0.009947310032879103
105.26315789473684,0.4179223807761437,0.7246959866402766,0.30367822782063586,0.03897582467347832,0.01769942195791621,0.008618326823975397
131.57894736842104,0.13744917431812356,0.37031635807118973,0.19185392564282783,0.03849505229987463,0.016801346158606567,0.007790598477911553
157.89473684210526,0.046958490641939674,0.19764180205217,0.1264478110537248,0.03830405822140334,0.016277263074678694,0.007237450376672283
184.21052631578945,0.01645089392421158,0.1086467918360428,0.08593117098122502,0.03822746138661953,0.01596124405891952,0.006850258164660894
210.52631578947367,0.005867570450377841,0.0609929254056726,0.059755942843193396,0.038196628861019405,0.015766921374702425,0.006570367791951887
236.8421052631579,0.0021214547676716724,0.03477603821704607,0.042299154957698946,0.038184209933289526,0.015645990394692444,0.006363315769279065
263.1578947368421,0.000775313248844211,0.020064232504128747,0.030365505478621154,0.038179202351661556,0.01557017372541547,0.006207515390348667
289.4736842105263,0.00028583947860346445,0.011684339127327277,0.02204617418292649,0.03817718258511241,0.015522420031687773,0.006088772508650253
315.7894736842105,0.00010615310438165704,0.006855532068606631,0.01615433535751606,0.03817636792104939,0.015492254936418537,0.00599738776731068
342.10526315789474,3.966654190699647e-05,0.004047264640864199,0.011927667347433075,0.038176037465520396,0.015473166092265705,0.005926530923763523
368.4210526315789,1.490109076836334e-05,0.0024018035683103134,0.008863218483257218,0.03817590889392797,0.015461068534853795,0.005871272316140014
394.7368421052631,5.623552470018338e-06,0.0014316635857816716,0.006621685120283971,0.03817585018995823,0.015453399517607463,0.0058279842771705725
421.05263157894734,2.1308646374460994e-06,0.0008566735935519474,0.004969853957155442,0.038175831290212736,0.015448533957752142,0.005793951168392708
447.36842105263156,8.103077148318872e-07,0.0005143462611434573,0.003744890851135455,0.0381758219336914,0.015445448259868572,0.005767122322034579
473.6842105263158,3.0911723421200094e-07,0.00030973815251177057,0.0028315777510235307,0.03817582469643724,0.01544348730540765,0.005745925693166537
500.0,1.1825846969103306e-07,0.0001870228602982822,0.0021474596800946117,0.03817581733972214,0.01544224554963014,0.0057291488489854825
