distance_km,keyrate_bps_level_1
0.0,0.016088406155353317
26.31578947368421,0.0001331890160950953
52.63157894736842,3.3373889766279136e-05
78.94736842105263,1.252543854645876e-05
105.26315789473684,5.590742991927584e-06
131.57894736842104,2.741792717181457e-06
157.89473684210526,1.4241716859697584e-06
184.21052631578945,7.682280136887823e-07
210.52631578947367,4.253803546809901e-07
236.8421052631579,2.400328020553437e-07
263.1578947368421,1.373745713460847e-07
289.4736842105263,7.948517591188739e-08
315.7894736842105,4.6390724623876565e-08
342.10526315789474,2.7267101621889225e-08
368.4210526315789,1.6120963435691226e-08
394.7368421052631,9.578456847999765e-09
421.05263157894734,5.7154379371945584e-09
447.3684210526315,3.4230645511575183e-09
473.6842105263158,2.05682573395236e-09
500.0,1.2394764596369325e-09
