distance_km,keyrate_bps_level_2
0.0,28.27520109276016
26.31578947368421,2.414541322418145
52.63157894736842,0.9236225028588672
78.94736842105263,0.4655173488999779
105.26315789473684,0.2668204988686072
131.57894736842104,0.16493047617523465
157.89473684210526,0.10714365251498952
184.21052631578945,0.07208385237495081
210.52631578947367,0.04976482943428334
236.8421052631579,0.03503899043915991
263.1578947368421,0.025052807777089545
289.4736842105263,0.018133489513533364
315.7894736842105,0.01325611230519749
342.10526315789474,0.009769926789906399
368.4210526315789,0.007249537025281234
394.7368421052631,0.005410085761264567
421.05263157894734,0.004056947026639881
447.3684210526315,0.003054888673134676
473.6842105263158,0.0023085968123628896
500.0,0.0017500776450801493
