distance_km,keyrate_bps_level_0,keyrate_bps_level_1,keyrate_bps_level_2,opt_qs_level_0,opt_qs_level_1,opt_qs_level_2
0.0,657.8531940345375,144.42758041763608,24.559660612456593,0.28583752701165505,0.2191307129276181,0.15194998209630559
26.31578947368421,27.977658168260017,12.897010509958404,2.9358013418527817,0.05760564257691694,0.03459667327162516,0.02266402837643905
52.63157894736842,5.54379740443456,4.111931126767681,1.1807435581850214,0.04426598255305497,0.023731434255297723,0.014006206157434503
78.94736842105263,1.498241890419845,1.7114694582051198,0.6074987945607154,0.04043226155082752,0.019830271835352797,0.010763820129416513
105.26315789473684,0.460682659382906,0.80864714760145,0.3520915164719514,0.039057679345298135,0.017962868617377586,0.00909347824732712
131.57894736842104,0.1513210920735062,0.4108668182902811,0.2191328489737359,0.03852727474051082,0.01695098658901159,0.00809484695578258
157.89473684210526,0.051671772112220696,0.21855798631837556,0.1430035257729917,0.0383169270488615,0.016366069984297182,0.00744437973256018
184.21052631578945,0.018098443438567424,0.11990509648976615,0.09651535067550275,0.03823263162650595,0.016015327851535005,0.006996837810023221
210.52631578947367,0.006454681277289292,0.06723067339490224,0.06678457448112095,0.03819871477068548,0.01580037677150606,0.006677222301445324
236.8421052631579,0.0023336518292900953,0.038303348512467306,0.04710222663546538,0.03818504591244712,0.015666887359549048,0.006442848296709269
263.1578947368421,0.0008528521765716416,0.022088768619301587,0.03372100256128027,0.03817953686025044,0.015583305483800602,0.006267634804023786
289.4736842105263,0.00031442455677767024,0.012859447744356614,0.024431390746223667,0.038177313061506374,0.015530701945594222,0.006134749544685014
315.7894736842105,0.00011676858407782973,0.007543566430868133,0.017873458924174027,0.03817642141084657,0.01549748968356407,0.006032865001915966
342.10526315789474,4.363322159796948e-05,0.004452919829367143,0.013180637995375164,0.03817606224088499,0.015476477756830781,0.005954094569691537
368.4210526315789,1.6391203707194795e-05,0.0026423335326330975,0.009784817114935798,0.038175911985359856,0.015463167689899082,0.005892802649432288
394.7368421052631,6.185908304579281e-06,0.0015749621746293714,0.007304681086544857,0.0381758536859243,0.015454731597518562,0.0058448703986218875
421.05263157894734,2.3439511909381602e-06,0.0009423911677593339,0.005479213624009679,0.03817583530797716,0.01544938053122974,0.005807240405548725
447.36842105263156,8.913385000720728e-07,0.0005658000231640146,0.004126770952351802,0.03817582161193228,0.015445982685359932,0.00577760655171658
473.6842105263158,3.400289597485883e-07,0.0003407192824428569,0.0031191699832443017,0.038175816787792693,0.015443831106177808,0.0057542136806074395
500.0,1.300843169863302e-07,0.0002057279499599211,0.002364876476821106,0.038175815146810954,0.015442462764311715,0.005735711732237969
