distance_km,keyrate_bps_level_0,keyrate_bps_level_1,keyrate_bps_level_2,opt_qs_level_0,opt_qs_level_1,opt_qs_level_2,opt_lambdas_level_0,opt_lambdas_level_1,opt_lambdas_level_2
0.0,241.28462784244346,57.883410574456654,6.72315234384406,0.4999999999999823,0.4999999999999804,0.3746046279627064,0.2999976547160401,0.2999988367663489,0.2999920783069593
26.31578947368421,48.90241516621012,19.15583223255228,2.404975228811188,0.49999999999991424,0.49999999999998707,0.4147772391143168,0.13479763289487026,0.10552230778911004,0.08011717635125826
52.63157894736842,17.985721016430766,9.195247445775568,1.2223188133558036,0.4999999999999961,0.49999999999999384,0.42756019368186277,0.1579210920091445,0.1060417326005422,0.07107527502748537
78.94736842105263,6.847875224539535,4.919150938085705,0.7046983295666805,0.4999999999999889,0.4999999999999993,0.43462968052922357,0.1770769197514694,0.10872070401533238,0.06633759244712197
105.26315789473684,2.4937869840190516,2.7435015271349976,0.4366842971905512,0.4999999999999994,0.49999999999999684,0.43911631240495136,0.1883591092403924,0.11144086161668346,0.06335409175614488
131.57894736842104,0.880444280763318,1.5561067397105315,0.2836689776530693,0.49999999999999456,0.49999999999999756,0.44217307057071126,0.19373564864007586,0.11367020560978361,0.061314888159667874
157.89473684210526,0.308749596793536,0.889293254581838,0.19048983272350226,0.49999999999997236,0.4999999999999998,0.4443479253742797,0.19604969654708118,0.11532772015239068,0.059855271602365936
184.21052631578945,0.10896734544588382,0.5105800799121288,0.13109648253957956,0.4999999999999994,0.49999999999999944,0.44594043373212056,0.19700530338071995,0.11649106300275035,0.05877943791874647
210.52631578947367,0.038876404537084304,0.29438214091107884,0.0919340203709186,0.49999999999988387,0.4999999999999982,0.4471302528630326,0.19739368926409492,0.11727802637861884,0.057970568714658235
236.8421052631579,0.014026058496331109,0.17049447652784336,0.0654317302404569,0.4999999999999946,0.49999999999999295,0.4480322902983142,0.19755062220561265,0.11779778858670165,0.05735375698133188
263.1578947368421,0.005112034634216948,0.09921738049415385,0.047126842043779114,0.49999999999987627,0.49999999999999095,0.4487236310697576,0.19761385819879923,0.11813585147826103,0.05687853291289266
289.4736842105263,0.0018796459788200113,0.058021539564824774,0.034274988759946244,0.4999999999999988,0.49999999999999606,0.44925781349820143,0.19763922930848266,0.11835356070298769,0.05650954338019287
315.7894736842105,0.0006963586448932437,0.03409396244482512,0.025130369287339426,0.49999999999999967,0.49999999999997624,0.4496731339794275,0.19764955657471345,0.11849292198444944,0.05622138356888269
342.10526315789474,0.00025965396163390227,0.020125957448018896,0.018551347997260152,0.4999999999999991,0.4999999999999893,0.4499977033629781,0.19765364645994948,0.11858175136010159,0.05599533115634364
368.4210526315789,9.735846371367077e-05,0.011931561257628662,0.013774194530657067,0.4999999999999993,0.49999999999993644,0.4502522825288191,0.19765525542697854,0.11863830180859633,0.05581739425560332
394.7368421052631,3.668181592042601e-05,0.007101603812814913,0.010278210691190387,0.4999999999999998,0.499999999999968,0.45045253463776036,0.19765597171254873,0.11867419974560826,0.055676948244299654
421.05263157894734,1.387920408986909e-05,0.004242183577106602,0.007702689628316134,0.49999999999999994,0.4999999999997143,0.4506103806876237,0.19765606776720873,0.11869700038245033,0.055565853049864555
447.36842105263156,5.271063909696329e-06,0.002542481557046383,0.005794359239588673,0.49999999999999906,0.49999999999995837,0.4507351192712785,0.19765650313266303,0.11871146137106478,0.055477857675622605
473.6842105263158,2.0084967314705213e-06,0.0015283854527444183,0.004373322911531867,0.499999999999999,0.4999999999999461,0.45083377881533315,0.19765655040716948,0.11872061084292339,0.05540805293324472
500.0,7.675925696148865e-07,0.0009212926203106772,0.003310532195896773,0.499999999999993,0.4999999999999995,0.4509120275169139,0.19765707331549326,0.11872644792198149,0.05535262562715672
