distance_km,keyrate_bps_level_1
0.0,4.870488700444311
26.31578947368421,1.422283737352664
52.63157894736842,0.5615617405870844
78.94736842105263,0.25624755284345835
105.26315789473684,0.12698974099615723
131.57894736842104,0.06628705250773662
157.89473684210526,0.03582922319748463
184.21052631578945,0.019848801549809836
210.52631578947367,0.0111963908517941
236.8421052631579,0.006402951195219426
263.1578947368421,0.0037011886954275612
289.4736842105263,0.002157940342912361
315.7894736842105,0.0012670778857871916
342.10526315789474,0.0007483948777521879
368.4210526315789,0.0004442607511382802
394.7368421052631,0.0002648650710621732
421.05263157894734,0.0001585082773608022
447.3684210526315,9.517561758076175e-05
473.6842105263158,5.731735176277053e-05
500.0,3.460984086861151e-05
