distance_km,keyrate_bps_level_2
0.0,0.0008223665957687041
26.31578947368421,2.239077201832229e-06
52.63157894736842,7.136246917459309e-07
78.94736842105263,3.277380882592752e-07
105.26315789473684,1.771713315302058e-07
131.57894736842104,1.0515779911469029e-07
157.89473684210526,6.630129679596722e-08
184.21052631578945,4.359424994756605e-08
210.52631578947367,2.955486996701115e-08
236.8421052631579,2.0505378769572034e-08
263.1578947368421,1.4484150597930484e-08
289.4736842105263,1.0377337760083527e-08
315.7894736842105,7.520550469290393e-09
342.10526315789474,5.501472422128418e-09
368.4210526315789,4.0557965135030275e-09
394.7368421052631,3.009501510710541e-09
421.05263157894734,2.2454395649248338e-09
447.3684210526315,1.6832524530178207e-09
473.6842105263158,1.2669410271670276e-09
500.0,9.569569656616196e-10
