dep_lst,sk_raw_lst,sk_AD_lst
0.0,0.34997757835164567,0.24432153078217608
0.005263157894736842,0.2554859166504365,0.20912048640017522
0.010526315789473684,0.18316766350104674,0.18254672081144213
0.015789473684210527,0.11973363528253178,0.15965398715458276
0.021052631578947368,0.06229470195491904,0.13931564119169487
0.02631578947368421,0.009452378133645079,0.12096656906961128
0.031578947368421054,0.0,0.10425636057738323
0.03684210526315789,0.0,0.08894192059484109
0.042105263157894736,0.0,0.07484234321723766
0.04736842105263158,0.0,0.06181639311121587
0.05263157894736842,0.0,0.04974992015660232
0.05789473684210526,0.0,0.03854823059231918
0.06315789473684211,0.0,0.02813116970974492
0.06842105263157895,0.0,0.018429795665474924
0.07368421052631578,0.0,0.009384040127258181
0.07894736842105263,0.0,0.0009410091237366432
0.08421052631578947,0.0,0.0
0.08947368421052632,0.0,0.0
0.09473684210526316,0.0,0.0
0.1,0.0,0.0
